#,Species,Plot #,Substrate,Date (mmmdd) ,substrate (um),Activity (umol g-1 hr-1),activity/[S]
2323,FRAM,1,NAG,15-Nov,400,0.1206,0.0003
2683,FRAM,1,NAG,15-Nov,600,0.12616,0.0002
3043,FRAM,1,NAG,15-Nov,800,0.13393,0.0002
164,FRAM,2,NAG,15-Nov,5,0.0065803,0.0013
524,FRAM,2,NAG,15-Nov,20,0.010351,0.0005
884,FRAM,2,NAG,15-Nov,40,0.041729,0.001
1244,FRAM,2,NAG,15-Nov,80,0.052021,0.0007
1604,FRAM,2,NAG,15-Nov,140,0.075529,0.0005
1964,FRAM,2,NAG,15-Nov,200,0.11112,0.0006
2324,FRAM,2,NAG,15-Nov,400,0.099516,0.0002
2684,FRAM,2,NAG,15-Nov,600,0.12694,0.0002
3044,FRAM,2,NAG,15-Nov,800,0.13215,0.0002
165,FRAM,3,NAG,15-Nov,5,0.0013532,0.0003
525,FRAM,3,NAG,15-Nov,20,0.03029,0.0015
885,FRAM,3,NAG,15-Nov,40,0.03433,0.0009
1245,FRAM,3,NAG,15-Nov,80,0.061067,0.0008
1605,FRAM,3,NAG,15-Nov,140,0.097912,0.0007
1965,FRAM,3,NAG,15-Nov,200,0.12809,0.0006
2325,FRAM,3,NAG,15-Nov,400,0.088485,0.0002
2685,FRAM,3,NAG,15-Nov,600,0.10471,0.0002
3045,FRAM,3,NAG,15-Nov,800,0.11765,0.0001
166,FRAM,4,NAG,15-Nov,5,0.040943,0.0082
526,FRAM,4,NAG,15-Nov,20,0.040744,0.002
886,FRAM,4,NAG,15-Nov,40,0.071481,0.0018
1246,FRAM,4,NAG,15-Nov,80,0.10227,0.0013
1606,FRAM,4,NAG,15-Nov,140,0.14556,0.001
1966,FRAM,4,NAG,15-Nov,200,0.18112,0.0009
2326,FRAM,4,NAG,15-Nov,400,0.17935,0.0004
2686,FRAM,4,NAG,15-Nov,600,0.28721,0.0005
3046,FRAM,4,NAG,15-Nov,800,0.23686,0.0003
167,FRAM,5,NAG,15-Nov,5,0.02025,0.0041
527,FRAM,5,NAG,15-Nov,20,0.077481,0.0039
887,FRAM,5,NAG,15-Nov,40,0.11557,0.0029
1247,FRAM,5,NAG,15-Nov,80,0.13066,0.0016
1607,FRAM,5,NAG,15-Nov,140,0.22958,0.0016
1967,FRAM,5,NAG,15-Nov,200,0.29738,0.0015
2327,FRAM,5,NAG,15-Nov,400,0.36278,0.0009
2687,FRAM,5,NAG,15-Nov,600,0.50627,0.0008
3047,FRAM,5,NAG,15-Nov,800,0.47891,0.0006
168,FRAM,6,NAG,15-Nov,5,0.013924,0.0028
528,FRAM,6,NAG,15-Nov,20,0.05116,0.0026
888,FRAM,6,NAG,15-Nov,40,0.1145,0.0029
1248,FRAM,6,NAG,15-Nov,80,0.15931,0.002
1608,FRAM,6,NAG,15-Nov,140,0.23246,0.0017
1968,FRAM,6,NAG,15-Nov,200,0.26317,0.0013
2328,FRAM,6,NAG,15-Nov,400,0.33385,0.0008
2688,FRAM,6,NAG,15-Nov,600,0.33731,0.0006
3048,FRAM,6,NAG,15-Nov,800,0.37313,0.0005
